ID,NAME
,
1,ABACA
2,ABACE
3,ABALE
4,ABATA
5,ABATE
6,ABATI
7,ABATU
8,ABAUA
9,ABCES
10,ABDIC
11,ABILA
12,ABILE
13,ABILI
14,ABJUR
15,ABNEG
16,ABOLI
17,ABONA
18,ABRAC
19,ABRAS
20,ABROG
21,ABTIE
22,ABTII
23,ABTIN
24,ABTIU
25,ABURC
26,ABURI
27,ABUZA
28,ACAJU
29,ACANA
30,ACANI
31,ACANT
32,ACARE
33,ACARI
34,ACASA
35,ACATA
36,ACATE
37,ACATI
38,ACCED
39,ACCES
40,ACCIZ
41,ACEEA
42,ACEIA
43,ACELA
44,ACELE
45,ACERA
46,ACERB
47,ACERE
48,ACERI
49,ACEST
50,ACHII
51,ACHIT
52,ACHIU
53,ACIDA
54,ACIDE
55,ACILA
56,ACILI
57,ACINE
58,ACIRA
59,ACIRE
60,ACIRI
61,ACIUA
62,ACIUI
63,ACIZI
64,ACLAM
65,ACNEE
66,ACOLO
67,ACONT
68,ACORD
69,ACQUA
70,ACREA
71,ACREI
72,ACRIA
73,ACRIE
74,ACRII
75,ACRIM
76,ACRIS
77,ACRIT
78,ACRIU
79,ACRUL
80,ACRUT
81,ACTIV
82,ACTOR
83,ACTUL
84,ACUMA
85,ACUSA
86,ACUSI
87,ACUTA
88,ACUTE
89,ACUTI
90,ACUZA
91,ACUZE
92,ACUZI
93,ADANC
94,ADAOG
95,ADAOS
96,ADAPA
97,ADAPE
98,ADAPI
99,ADAST
100,ADAUG
101,ADAUS
102,ADECA
103,ADEPT
104,ADERA
105,ADERE
106,ADERI
107,ADESE
108,ADIAI
109,ADIAM
110,ADIAT
111,ADIAU
112,ADICA
113,ADIEM
114,ADINS
115,ADMIR
116,ADMIS
117,ADMIT
118,ADNAT
119,ADOPT
120,ADORA
121,ADORE
122,ADORI
123,ADORM
124,ADUCA
125,ADUCE
126,ADUCI
127,ADUCT
128,ADULA
129,ADULT
130,ADUNA
131,ADUNE
132,ADUNI
133,ADUSA
134,ADUSE
135,ADUSI
136,ADVON
137,AEDUL
138,AEQUO
139,AERAI
140,AERAJ
141,AERAM
142,AERAT
143,AERAU
144,AEREZ
145,AEROB
146,AEROS
147,AERUL
148,AEZII
149,AFANA
150,AFARA
151,AFECT
152,AFGAN
153,AFIDA
154,AFIDE
155,AFIFA
156,AFIFE
157,AFIFI
158,AFINA
159,AFINE
160,AFINI
161,AFION
162,AFIPT
163,AFIRM
164,AFISA
165,AFISE
166,AFIXE
167,AFLAI
168,AFLAM
169,AFLAT
170,AFLAU
171,AFLUI
172,AFLUX
173,AFONA
174,AFONE
175,AFONI
176,AFTEI
177,AFTOR
178,AFTOS
179,AFUMA
180,AFUME
181,AFUMI
182,AFUND
183,AFURC
184,AGALE
185,AGAPA
186,AGAPE
187,AGASA
188,AGATA
189,AGATE
190,AGATI
191,AGAUA
192,AGAVA
193,AGAVE
194,AGENT
195,AGERA
196,AGERE
197,AGERI
198,AGEST
199,AGHII
200,AGIEI
201,AGILA
202,AGILE
203,AGILI
204,AGITA
205,AGITE
206,AGITI
207,AGIUL
208,AGNAT
209,AGNET
210,AGONA
211,AGONE
212,AGORA
213,AGORE
214,AGRAI
215,AGRAR
216,AGREA
217,AGRIS
218,AGUDA
219,AGUDE
220,AGUZI
221,AHEII
222,AHEUL
223,AHTIA
224,AHTIE
225,AHTUL
226,AHURI
227,AICEA
228,AIDAM
229,AIDEM
230,AIEPT
231,AIEST
232,AIEVE
233,AILOR
234,AIORI
235,AISOR
236,AISTA
237,AISTE
238,AISTI
239,AIURA
240,AIURE
241,AIURI
242,AJUNA
243,AJUNG
244,AJUNS
245,AJURA
246,AJUTA
247,AJUTE
248,AJUTI
249,AKANI
250,ALACE
251,ALAIT
252,ALAMA
253,ALAME
254,ALAMI
255,ALANA
256,ALANE
257,ALANI
258,ALAUN
259,ALBEA
260,ALBEI
261,ALBET
262,ALBIA
263,ALBIE
264,ALBII
265,ALBIM
266,ALBIT
267,ALBIU
268,ALBUI
269,ALBUL
270,ALBUM
271,ALBUS
272,ALBUT
273,ALCAN
274,ALCOV
275,ALDAN
276,ALDIN
277,ALDOL
278,ALDUI
279,ALEAN
280,ALEEA
281,ALEGA
282,ALEGE
283,ALEGI
284,ALEIA
285,ALEII
286,ALELA
287,ALELE
288,ALENA
289,ALENE
290,ALERG
291,ALERT
292,ALESE
293,ALESI
294,ALEZA
295,ALEZE
296,ALGEI
297,ALGIA
298,ALGID
299,ALGIE
300,ALGII
301,ALGOL
302,ALIAI
303,ALIAJ
304,ALIAM
305,ALIAS
306,ALIAT
307,ALIAU
308,ALIBI
309,ALICA
310,ALICE
311,ALICI
312,ALIEM
313,ALIEZ
314,ALINA
315,ALINE
316,ALINI
317,ALINT
318,ALIOR
319,ALIPI
320,ALMAR
321,ALMEE
322,ALMEI
323,ALOCA
324,ALOCE
325,ALOCI
326,ALOEA
327,ALOEI
328,ALORA
329,ALOUL
330,ALPIN
331,ALTAR
332,ALTEI
333,ALTER
334,ALTII
335,ALTOI
336,ALTOR
337,ALTUI
338,ALTUL
339,ALUAT
340,ALUIA
341,ALUNA
342,ALUNE
343,ALUNG
344,ALUNI
345,ALURA
346,ALURI
347,AMAGI
348,AMANA
349,AMANE
350,AMANI
351,AMANT
352,AMARA
353,AMARE
354,AMARI
355,AMBAR
356,AMBII
357,AMBRA
358,AMBRE
359,AMENT
360,AMETI
361,AMHAR
362,AMIAZ
363,AMIBA
364,AMIBE
365,AMICA
366,AMICE
367,AMICI
368,AMIDA
369,AMIDE
370,AMIEZ
371,AMILI
372,AMINA
373,AMINE
374,AMINO
375,AMNAR
376,AMORF
377,AMPER
378,AMPEX
379,AMPLA
380,AMPLE
381,AMPLI
382,AMPLU
383,AMURG
384,AMUSA
385,AMUSE
386,AMUSI
387,AMUTA
388,AMUTE
389,AMUTI
390,AMUZA
391,AMUZE
392,AMUZI
393,AMVON
394,ANALA
395,ANALE
396,ANALI
397,ANAUA
398,ANCIA
399,ANCIE
400,ANCII
401,ANDIN
402,ANEXA
403,ANEXE
404,ANGLI
405,ANGOR
406,ANGRO
407,ANIMA
408,ANIME
409,ANIMI
410,ANINA
411,ANINE
412,ANINI
413,ANION
414,ANOST
415,ANOZI
416,ANSEI
417,ANSOA
418,ANTAL
419,ANTEI
420,ANTET
421,ANTIC
422,ANTUM
423,ANUAL
424,ANUAR
425,ANULA
426,ANUME
427,ANUNT
428,ANURA
429,ANURE
430,AOLEO
431,AOLEU
432,AORTA
433,AORTE
434,APARA
435,APARE
436,APARI
437,APARU
438,APASA
439,APASI
440,APELA
441,APELE
442,APERE
443,APERI
444,APESE
445,APESI
446,APIDA
447,APIDE
448,APIOL
449,APLEC
450,APLIC
451,APLIT
452,APNEE
453,APODA
454,APODE
455,APOLO
456,APORT
457,APOSI
458,APOZI
459,APRET
460,APRIG
461,APRIL
462,APROB
463,APROD
464,APTEI
465,APTER
466,APTII
467,APTUL
468,APUCA
469,APUCE
470,APUCI
471,APUIE
472,APULI
473,APUNA
474,APUNE
475,APUPA
476,APUPE
477,APUSA
478,APUSE
479,APUSI
480,ARABA
481,ARABE
482,ARABI
483,ARACI
484,ARAMA
485,ARAME
486,ARAMI
487,ARAND
488,ARAPI
489,ARARA
490,ARARE
491,ARARI
492,ARASE
493,ARASI
494,ARATA
495,ARATE
496,ARATI
497,ARBIE
498,ARBIU
499,ARBOR
500,ARBUZ
501,ARCAN
502,ARCAS
503,ARCAT
504,ARCEI
505,ARCER
506,ARCUI
507,ARCUL
508,ARCUS
509,ARDEA
510,ARDEI
511,ARDEM
512,ARDIC
513,ARDIL
514,AREAL
515,ARECI
516,AREIC
517,ARENA
518,ARENE
519,AREST
520,ARETA
521,ARETE
522,ARETI
523,ARFEI
524,ARGAT
525,ARGEA
526,ARGON
527,ARGOS
528,ARGOU
529,ARGUS
530,ARHAR
531,ARHON
532,ARIAN
533,ARICI
534,ARIDA
535,ARIDE
536,ARIEI
537,ARILE
538,ARILI
539,ARIMA
540,ARINA
541,ARINE
542,ARINI
543,ARIPA
544,ARIPI
545,ARIZI
546,ARMAI
547,ARMAM
548,ARMAN
549,ARMAR
550,ARMAS
551,ARMAT
552,ARMAU
553,ARMEI
554,ARMEZ
555,ARMIA
556,ARMIE
557,ARMII
558,ARMUL
559,ARNEU
560,AROGA
561,AROGE
562,AROGI
563,AROMA
